Class,Support,Precision,Recall,F1
Worms,44,0.6428571428571429,0.4090909090909091,0.5000000000000001
Shellcode,378,0.3375,0.7857142857142857,0.47217806041335453
Backdoor,583,0.041891083183722325,0.12006861063464837,0.06211180124223603
Analysis,677,0.03442879499217527,0.03249630723781388,0.03343465045592705
Reconnaissance,3496,0.9247382198952879,0.8083524027459954,0.8626373626373626
DoS,4089,0.5482695810564663,0.07361213010516018,0.12979732643380767
Fuzzers,6062,0.31357806280406897,0.5847904981854174,0.40824552311855816
Exploits,11132,0.5813099609143669,0.8817822493711822,0.7006924120208438
Generic,18871,0.9980907702378354,0.9695829579778497,0.9836303523909363
Normal,37000,0.9672600565790381,0.7577567567567568,0.8497863183099446
